,name,position
8460542,Patrik Elias,C
8469462,Tuomo Ruutu,L
8469500,Michael Cammalleri,L
8469547,Jordin Tootoo,R
8470740,Lee Stempniak,R
8471233,Travis Zajac,C
8471311,Tyler Kennedy,C
8471752,Marc-Andre Gragnani,D
8472382,Andy Greene,D
8472410,Stephen Gionta,C
8473482,Jiri Tlusty,L
8473673,David Schlemko,D
8474024,Jim O'Brien,C
8474641,Adam Henrique,C
8474660,David Warsofsky,D
8475151,Kyle Palmieri,R
8475185,Jacob Josefson,C
8475186,John Moore,D
8475199,Eric Gelinas,D
8475274,Seth Helgeson,D
8475750,Jon Merrill,D
8475758,Devante Smith-Pelly,R
8476200,Paul Thompson,R
8476209,Mike Sislo,R
8476370,Blake Pietila,L
8476423,Reid Boucher,C
8476457,Adam Larsson,D
8476769,Bobby Farnham,R
8476772,Brian O'Neill,R
8476870,Stefan Matteau,C
8476923,Damon Severson,D
8477010,Joseph Blandisi,C
8477425,Miles Wood,L
8477463,Steven Santini,D
8478401,Pavel Zacha,C
8478566,Sergey Kalinin,C
8478584,Vojtech Mozik,D
8471186,Yann Danis,G
8471239,Cory Schneider,G
8475809,Scott Wedgewood,G
8476234,Keith Kinkaid,G
8469707,PA Parenteau,R
8469759,Vernon Fiddler,C
8470724,Kyle Quincey,D
8473933,Ben Lovejoy,D
8473989,Luke Gazdic,L
8474774,Dalton Prout,D
8475761,Beau Bennett,R
8475791,Taylor Hall,L
8476399,Blake Coleman,C
8476474,Stefan Noesen,R
8476526,Ben Thomson,L
8476798,Karl Stollery,D
8477961,John Quenneville,C
8478480,Blake Speers,C
8479250,Nick Lappin,R
8479291,Kevin Rooney,C
8479483,Yohann Auvitu,D
8480081,Michael Kapla,D
8470619,Brian Boyle,C
8471226,Drew Stafford,R
8473546,Michael Grabner,L
8474034,Pat Maroon,L
8474625,Jimmy Hayes,R
8475149,Marcus Johansson,L
8475222,Sami Vatanen,D
8476207,Brian Gibbons,C
8477355,Will Butcher,D
8477509,Mirco Mueller,D
8479407,Jesper Bratt,L
8480002,Nico Hischier,C
8475663,Eddie Lack,G
8478965,Ken Appleby,G
8473468,Eric Gryba,D
8474025,Eric Tangradi,L
8475844,Kenny Agostino,L
8476465,Ryan Murphy,D
8476545,Kurtis Gabriel,R
8476941,Connor Carrick,D
8477520,Jean-Sebastien Dea,C
8477972,Josh Jacobs,D
8478841,Colton White,D
8478881,Brett Seney,L
8479315,Joey Anderson,R
8479330,Brandon Gignac,C
8479414,Nathan Bastian,R
8479415,Michael McLeod,C
8480948,Egor Yakovlev,D
8478406,Mackenzie Blackwood,G
8460720,Eric Boulton,L
8469623,Marek Zidlicky,D
8470144,Frans Nielsen,C
8470187,Johnny Boychuk,D
8470609,Steve Bernier,R
8471362,Mikhail Grabovski,C
8471996,Bracken Kearns,C
8473449,Kyle Okposo,R
8473504,Cal Clutterbuck,R
8473565,Brian Strait,D
8473579,Nikolay Kulemin,L
8474066,Thomas Hickey,D
8474573,Josh Bailey,R
8474612,Travis Hamonic,D
8474709,Matt Martin,L
8475166,John Tavares,C
8475177,Calvin de Haan,D
8475181,Nick Leddy,D
8475192,Taylor Beck,L
8475231,Casey Cizikas,C
8475314,Anders Lee,L
8475754,Brock Nelson,C
8476386,Shane Prince,L
8476409,Alan Quine,C
8476429,Scott Mayfield,D
8476458,Ryan Strome,C
8476917,Adam Pelech,D
8477506,Ryan Pulock,D
8477527,Ross Johnston,L
8470860,Jaroslav Halak,G
8471306,Thomas Greiss,G
8475234,J-F Berube,G
8476444,Christopher Gibson,G
8466251,Jason Chimera,L
8469619,Dennis Seidenberg,D
8471217,Andrew Ladd,L
8472410,Stephen Gionta,C
8477881,Connor Jones,C
8477959,Joshua Ho-Sang,R
8478445,Mathew Barzal,C
8478463,Anthony Beauvillier,L
8474586,Jordan Eberle,R
8475780,Chris Wagner,R
8475869,Brandon Davidson,D
8477936,Michael Dal Colle,L
8479206,Tanner Fritz,C
8480222,Sebastian Aho,D
8470047,Valtteri Filppula,C
8473463,Leo Komarov,R
8474579,Luca Sbisa,D
8475832,Tom Kuhnhackl,R
8478038,Devon Toews,D
8475215,Robin Lehner,G
8467096,Dan Boyle,D
8468526,Jarret Stoll,C
8468575,Dominic Moore,C
8470041,Rick Nash,L
8470230,Daniel Paille,L
8470595,Eric Staal,C
8470630,Kevin Klein,D
8470854,Tanner Glass,L
8471686,Marc Staal,D
8471735,Keith Yandle,D
8471958,Dan Girardi,D
8473537,Viktor Stalberg,L
8473544,Derick Brassard,C
8473589,Chris Summers,D
8474151,Ryan McDonagh,D
8474613,Derek Stepan,C
8475184,Chris Kreider,L
8475692,Mats Zuccarello,R
8475715,Oscar Lindberg,L
8475763,Kevin Hayes,R
8475770,Emerson Etem,R
8475795,Dylan McIlrath,D
8475855,Jesper Fast,R
8475949,Marek Hrivik,L
8476468,J.T. Miller,C
8476869,Brady Skjei,D
8477126,Jayson Megna,C
8476244,Raphael Diaz,D
8468685,Henrik Lundqvist,G
8476433,Magnus Hellberg,G
8477293,Antti Raanta,G
8473546,Michael Grabner,L
8474000,Steven Kampfer,D
8474090,Brendan Smith,D
8474207,Nick Holden,D
8475192,Taylor Beck,L
8475204,Brandon Pirri,C
8476431,Adam Clendening,D
8476459,Mika Zibanejad,C
8476477,Matt Puempel,L
8476482,Nicklas Jensen,R
8476918,Jimmy Vesey,L
8476922,Boo Nieves,C
8477402,Pavel Buchnevich,R
8477591,Josh Jooris,R
8471490,Adam Cracknell,R
8471657,Cody McLeod,L
8471976,David Desharnais,C
8473492,Matt Beleskey,L
8474008,Paul Carey,C
8474031,Kevin Shattenkirk,D
8475180,Peter Holland,C
8475727,Ryan Spooner,C
8476303,Rob O'Gara,D
8476396,Steven Fogarty,C
8476401,Daniel Catenacci,C
8476450,Ryan Sproul,D
8476480,Vladislav Namestnikov,C
8477337,John Gilmour,D
8477950,Tony DeAngelo,D
8479968,Vinni Lettieri,R
8480072,Lias Andersson,C
8480078,Filip Chytil,C
8480145,Neal Pionk,D
8471715,Ondrej Pavelec,G
8477990,Brandon Halverson,G
8480382,Alexandar Georgiev,G
8471717,Adam McQuaid,D
8475736,Connor Brickley,L
8476368,Fredrik Claesson,D
8476458,Ryan Strome,C
8477962,Brendan Lemieux,L
8479324,Ryan Lindgren,D
8479333,Libor Hajek,D
8479353,Brett Howden,C
8479364,Tim Gettinger,L
8467329,Vincent Lecavalier,C
8468309,Mark Streit,D
8468513,Nick Schultz,D
8469469,R.J. Umberger,C
8470644,Colin McDonald,R
8471762,Chris VandeVelde,C
8473466,Ryan White,C
8473512,Claude Giroux,C
8473584,Andrew MacDonald,D
8474040,Sam Gagner,C
8474161,Jakub Voracek,R
8474190,Wayne Simmonds,R
8474568,Luke Schenn,D
8474584,Michael Del Zotto,D
8475170,Brayden Schenn,C
8475430,Brandon Manning,D
8475462,Radko Gudas,D
8475738,Jordan Weal,C
8476177,Matt Read,R
8476393,Nick Cousins,C
8476461,Sean Couturier,C
8476872,Scott Laughton,C
8476906,Shayne Gostisbehere,D
8476955,Taylor Leier,L
8477290,Michael Raffl,L
8477930,Pierre-Edouard Bellemare,C
8478563,Evgeny Medvedev,D
8473461,Steve Mason,G
8473607,Michal Neuvirth,G
8470047,Valtteri Filppula,C
8470159,Boyd Gordon,C
8474668,Dale Weise,R
8477462,Robert Hagg,D
8477502,Samuel Morin,D
8478439,Travis Konecny,R
8478500,Ivan Provorov,D
8479648,Roman Lyubimov,L
8480087,Mike Vecchione,R
8476932,Anthony Stolarz,G
8469665,Johnny Oduya,D
8473440,Will O'Neill,D
8474627,Jori Lehtera,C
8475729,Mark Alt,D
8477399,Tyrell Goulbourne,L
8477948,Travis Sanheim,D
8478067,Oskar Lindblom,L
8478365,Danick Martel,L
8479974,Nolan Patrick,C
8470880,Brian Elliott,G
8475852,Petr Mrazek,G
8479312,Alex Lyon,G
8474037,James van Riemsdyk,L
8475260,Corban Knight,C
8475321,Phil Varone,C
8477451,Ryan Hartman,R
8477473,Justin Bailey,R
8477850,Christian Folin,D
8477979,Nicolas Aube-Kubel,R
8478017,Mark Friedman,D
8478844,Mikhail Vorobyev,C
8479026,Philippe Myers,D
8470093,Mike McKenna,G
8475660,Cam Talbot,G
8475717,Calvin Pickard,G
8479394,Carter Hart,G
8464989,Matt Cullen,C
8466393,Pascal Dupuis,R
8467452,Rob Scuderi,D
8470110,Trevor Daley,D
8470543,Chris Kunitz,L
8470611,Eric Fehr,C
8471215,Evgeni Malkin,C
8471331,Kevin Porter,C
8471675,Sidney Crosby,C
8471724,Kris Letang,D
8471887,Patric Hornqvist,R
8473542,Tom Sestito,L
8473548,Phil Kessel,R
8473933,Ben Lovejoy,D
8474009,Nick Bonino,C
8474013,Ian Cole,D
8474102,David Perron,L
8474176,Carl Hagelin,L
8474602,Justin Schultz,D
8474660,David Warsofsky,D
8475208,Brian Dumoulin,D
8475761,Beau Bennett,R
8475810,Bryan Rust,R
8475832,Tom Kuhnhackl,R
8476147,Kael Mouillierat,L
8476293,Scott Wilson,L
8476326,Josh Archibald,R
8476431,Adam Clendening,D
8476769,Bobby Farnham,R
8476874,Olli Maatta,D
8476884,Derrick Pouliot,D
8476897,Oskar Sundqvist,C
8477839,Conor Sheary,L
8478466,Daniel Sprong,R
8478866,Dominik Simon,C
8478928,Sergei Plotnikov,L
8470594,Marc-Andre Fleury,G
8473553,Jeff Zatkoff,G
8476899,Matt Murray,G
8468309,Mark Streit,D
8468493,Ron Hainsey,D
8474611,Cameron Gaunce,D
8476162,Steve Oleksy,D
8476302,Frank Corrado,D
8477240,Carter Rowney,C
8477244,Chad Ruhwedel,D
8477404,Jake Guentzel,L
8477520,Jean-Sebastien Dea,C
8477237,Mike Condon,G
8477465,Tristan Jarry,G
8471436,Matt Hunwick,D
8471817,Ryan Reaves,R
8473544,Derick Brassard,C
8475735,Greg McKegg,C
8475772,Riley Sheahan,C
8475902,Zach Trotman,D
8476467,Jamie Oleksiak,D
8477591,Josh Jooris,R
8479944,Zach Aston-Reese,C
8474550,Antti Niemi,G
8479193,Casey DeSmith,G
8471677,Jack Johnson,D
8474683,Derek Grant,C
8475253,Garrett Wilson,L
8475760,Nick Bjugstad,C
8475790,Erik Gudbranson,D
8476871,Tanner Pearson,L
8476927,Teddy Blueger,C
8477010,Joseph Blandisi,C
8477955,Jared McCann,C
8477969,Marcus Pettersson,D
8480341,Adam Johnson,C
8480945,Juuso Riikola,D
8465009,Zdeno Chara,D
8467967,Chris Kelly,C
8468639,John-Michael Liles,D
8469619,Dennis Seidenberg,D
8470171,Max Talbot,C
8470626,Loui Eriksson,L
8470638,Patrice Bergeron,C
8470740,Lee Stempniak,R
8471276,David Krejci,C
8471717,Adam McQuaid,D
8473419,Brad Marchand,L
8473492,Matt Beleskey,L
8474019,Tommy Cross,D
8474625,Jimmy Hayes,R
8474736,Zac Rinaldo,L
8475157,Landon Ferraro,C
8475292,Tyler Randell,R
8475625,Matt Irwin,D
8475727,Ryan Spooner,C
8475792,Brett Connolly,R
8475902,Zach Trotman,D
8476191,Kevan Miller,D
8476435,Alex Khokhlachev,C
8476476,Joe Morrow,D
8476495,Seth Griffith,C
8476525,Colin Miller,D
8476792,Torey Krug,D
8477956,David Pastrnak,R
8478366,Frank Vatrano,C
8478564,Joonas Kemppainen,C
8478569,Noel Acciari,C
8471695,Tuukka Rask,G
8475361,Jonas Gustavsson,G
8468575,Dominic Moore,C
8470655,David Backes,R
8471226,Drew Stafford,R
8474062,Riley Nash,C
8476303,Rob O'Gara,D
8476374,Sean Kuraly,C
8476891,Matt Grzelcyk,D
8477213,Tim Schaller,C
8477320,Anton Blidh,L
8477417,Peter Cehlarik,L
8478046,Danton Heinen,C
8478417,Jakob Forsbacka Karlsson,C
8478443,Brandon Carlo,D
8478512,Austin Czarnik,C
8479325,Charlie McAvoy,D
8471418,Anton Khudobin,G
8475876,Zane McIntyre,G
8476876,Malcolm Subban,G
8467407,Brian Gionta,R
8470041,Rick Nash,L
8474074,Paul Postma,D
8474207,Nick Holden,D
8474739,Tommy Wingels,C
8475224,Jordan Szwarz,R
8475844,Kenny Agostino,L
8477529,Colby Cave,C
8477987,Ryan Donato,C
8478075,Anders Bjork,L
8478498,Jake DeBrusk,L
8474000,Steven Kampfer,D
8474008,Paul Carey,C
8475149,Marcus Johansson,L
8475186,John Moore,D
8475745,Charlie Coyle,C
8475780,Chris Wagner,R
8475807,Joakim Nordstrom,C
8476966,Gemel Smith,C
8477365,Connor Clifton,D
8478415,Jakub Zboril,D
8478468,Jeremy Lauzon,D
8478485,Zach Senyshyn,R
8479365,Trent Frederic,C
8480001,Urho Vaakanainen,D
8480901,Karson Kuhlman,C
8470860,Jaroslav Halak,G
8467330,David Legwand,C
8467407,Brian Gionta,R
8469470,Carlo Colaiacovo,D
8470324,Josh Gorges,D
8470852,Matt Moulson,L
8471742,Cody Franson,D
8471811,Cal O'Reilly,C
8473426,Mike Weber,D
8473465,Jamie McGinn,L
8474567,Zach Bogosian,D
8474589,Tyler Ennis,R
8475158,Ryan O'Reilly,C
8475169,Evander Kane,L
8475220,Marcus Foligno,L
8475235,Nicolas Deslauriers,L
8475321,Phil Varone,C
8475728,Johan Larsson,C
8475796,Mark Pysyk,D
8476401,Daniel Catenacci,C
8476766,Cole Schneider,L
8476878,Zemgus Girgensons,C
8476931,Jake McCabe,D
8477213,Tim Schaller,C
8477244,Chad Ruhwedel,D
8477392,Hudson Fasching,R
8477473,Justin Bailey,R
8477499,Rasmus Ristolainen,D
8477933,Sam Reinhart,C
8478403,Jack Eichel,C
8478542,Evan Rodrigues,L
8479268,Casey Nelson,D
8473434,Chad Johnson,G
8475215,Robin Lehner,G
8476309,Jason Kasdorf,G
8476999,Linus Ullmark,G
8473449,Kyle Okposo,R
8473992,Justin Falk,D
8474683,Derek Grant,C
8475179,Dmitry Kulikov,D
8475982,Erik Burgdoerfer,D
8476166,Taylor Fedun,D
8477041,Brady Austin,D
8477391,Sean Malone,C
8477478,William Carrier,L
8477491,Nick Baptiste,R
8478425,Brendan Guhle,D
8479423,Alexander Nylander,L
8480083,C.J. Smith,L
8475195,Anders Nilsson,G
8469506,Jason Pominville,R
8471678,Benoit Pouliot,L
8474618,Marco Scandella,D
8474743,Zach Redmond,D
8475185,Jacob Josefson,C
8475325,Jordan Nolan,C
8476293,Scott Wilson,L
8476470,Nathan Beaulieu,D
8476495,Seth Griffith,C
8476807,Matt Tennyson,D
8476982,Danny O'Regan,C
8479304,Kyle Criscuolo,C
8479755,Victor Antipin,D
8479999,Casey Mittelstadt,C
8476330,Adam Wilcox,G
8471436,Matt Hunwick,D
8471743,Vladimir Sobotka,C
8473534,Patrik Berglund,C
8475784,Jeff Skinner,L
8477461,Remi Elie,L
8477839,Conor Sheary,L
8477986,Brandon Montour,D
8478109,Victor Olofsson,L
8478840,William Borgen,D
8479420,Tage Thompson,R
8480839,Rasmus Dahlin,D
8480935,Lawrence Pilut,D
8475622,Carter Hutton,G
8467496,Andrei Markov,D
8469521,Tomas Plekanec,C
8470039,Tomas Fleischmann,L
8470104,Tom Gilbert,D
8470120,Alexander Semin,R
8471296,Alexei Emelin,D
8471338,Torrey Mitchell,C
8471371,Mike Brown,R
8471976,David Desharnais,C
8473431,Bud Holloway,C
8473507,Jeff Petry,D
8473658,Victor Bartley,D
8473722,John Scott,L
8474038,Paul Byron,L
8474056,P.K. Subban,D
8474157,Max Pacioretty,L
8474189,Lars Eller,C
8474668,Dale Weise,R
8474688,Greg Pateryn,D
8474717,Mark Barberio,D
8475749,Christian Thomas,L
8475758,Devante Smith-Pelly,R
8475782,Morgan Ellis,D
8475797,Jarred Tinordi,D
8475848,Brendan Gallagher,R
8476379,Darren Dietz,D
8476451,Lucas Lessio,L
8476470,Nathan Beaulieu,D
8476479,Phillip Danault,C
8476808,Brian Flynn,C
8476851,Alex Galchenyuk,C
8476870,Stefan Matteau,C
8476948,Charles Hudon,L
8477413,Sven Andrighetto,R
8477446,Michael McCarron,R
8477455,Jacob de la Rose,C
8477810,Joel Hanley,D
8477901,Daniel Carr,L
8478004,Brett Lernout,D
8478963,Ryan Johnston,D
8471679,Carey Price,G
8474682,Dustin Tokarski,G
8475681,Ben Scrivens,G
8477237,Mike Condon,G
8479292,Charlie Lindgren,G
8468505,Steve Ott,C
8470642,Shea Weber,D
8471228,Alexander Radulov,R
8474052,Chris Terry,L
8474100,Dwight King,L
8474743,Zach Redmond,D
8474818,Jordie Benn,D
8475869,Brandon Davidson,D
8476300,Nikita Nesterov,D
8476381,Andrew Shaw,R
8476769,Bobby Farnham,R
8477476,Artturi Lehkonen,L
8477957,Nikita Scherbak,R
8478561,Andreas Martinsen,L
8479410,Mikhail Sergachev,D
8471219,Al Montoya,G
8468309,Mark Streit,D
8469466,Ales Hemsky,R
8473673,David Schlemko,D
8473991,Karl Alzner,D
8475235,Nicolas Deslauriers,L
8475278,Byron Froese,C
8476400,Logan Shaw,R
8476422,Mike Reilly,D
8476476,Joe Morrow,D
8477494,Jonathan Drouin,L
8477510,Kerby Rychel,L
8477642,Rinat Valiev,D
8478454,Noah Juulsen,D
8479376,Victor Mete,D
8480143,Jakub Jerabek,D
8474550,Antti Niemi,G
8470775,Nate Thompson,C
8475193,Tomas Tatar,L
8475738,Jordan Weal,C
8475808,Michael Chaput,C
8475844,Kenny Agostino,L
8476285,Matthew Peca,C
8476443,Xavier Ouellet,D
8476469,Joel Armia,R
8476967,Brett Kulak,D
8477503,Max Domi,C
8477850,Christian Folin,D
8480068,Ryan Poehling,C
8480829,Jesperi Kotkaniemi,C
8467351,Scott Gomez,C
8467493,Chris Neil,R
8470599,Milan Michalek,L
8470602,Dion Phaneuf,D
8470667,Clarke MacArthur,L
8470760,Marc Methot,D
8471676,Bobby Ryan,R
8471862,Colin Greening,C
8474068,Kyle Turris,C
8474250,Zack Smith,C
8474497,Michael Kostka,D
8474578,Erik Karlsson,D
8474605,Patrick Wiercioch,D
8474697,Mark Borowiecki,D
8474884,Mike Hoffman,L
8475163,Alex Chiasson,R
8475174,Jared Cowen,D
8475227,Chris Wideman,D
8475321,Phil Varone,C
8475661,Dave Dziurzynski,L
8475913,Mark Stone,R
8476288,Ryan Dzingel,C
8476323,Max McCormick,L
8476368,Fredrik Claesson,D
8476386,Shane Prince,L
8476419,Jean-Gabriel Pageau,C
8476459,Mika Zibanejad,C
8476477,Matt Puempel,L
8476879,Cody Ceci,D
8477210,Buddy Robinson,R
8477426,Nick Paul,L
8477433,Ben Harpur,D
8477508,Curtis Lazar,C
8467950,Craig Anderson,G
8476904,Chris Driedger,G
8477202,Andrew Hammond,G
8478559,Matthew O'Connor,G
8467967,Chris Kelly,C
8470358,Alexandre Burrows,R
8471663,Mike Blunden,R
8471768,Tom Pyatt,L
8473537,Viktor Stalberg,L
8473544,Derick Brassard,C
8474018,Christopher DiDomenico,L
8474739,Tommy Wingels,C
8476279,Jyrki Jokipakka,D
8477971,Andreas Englund,D
8478376,Casey Bailey,R
8478400,Colin White,C
8478469,Thomas Chabot,D
8477237,Mike Condon,G
8468483,Marian Gaborik,R
8469665,Johnny Oduya,D
8470775,Nate Thompson,C
8474024,Jim O'Brien,C
8475168,Matt Duchene,C
8475175,Magnus Paajarvi,L
8475254,Gabriel Dumont,C
8475328,Ben Sexton,C
8475982,Erik Burgdoerfer,D
8476406,Nick Shore,C
8476890,Patrick Sieloff,D
8478268,Jack Rodewald,R
8478488,Filip Chlapik,C
8478846,Christian Wolanin,D
8478868,Christian Jaros,D
8479366,Logan Brown,C
8480029,Alex Formenton,L
8471433,Daniel Taylor,G
8473992,Justin Falk,D
8474008,Paul Carey,C
8474571,Mikkel Boedker,L
8474597,Cody Goloubef,D
8475206,Stefan Elliott,D
8475423,Darren Archibald,R
8475715,Oscar Lindberg,L
8476207,Brian Gibbons,C
8476331,Dylan DeMelo,D
8476919,Chris Tierney,C
8477407,Anthony Duclair,L
8478870,Rudolfs Balcers,L
8479320,Maxime Lajoie,D
8479411,Vitaly Abramov,R
8480073,Erik Brannstrom,D
8480208,Drake Batherson,R
8480314,Max Veronneau,R
8480801,Brady Tkachuk,L
8470093,Mike McKenna,G
8475195,Anders Nilsson,G
8477405,Marcus Hogberg,G
8478916,Joey Daccord,G
8468504,Brad Boyes,R
8469639,Brooks Laich,C
8469707,PA Parenteau,R
8470207,Joffrey Lupul,L
8470599,Milan Michalek,L
8470602,Dion Phaneuf,D
8471392,Roman Polak,D
8471436,Matt Hunwick,D
8471476,Daniel Winnik,L
8471733,Rich Clune,L
8471862,Colin Greening,C
8473463,Leo Komarov,R
8473546,Michael Grabner,L
8473574,Shawn Matthias,L
8474037,James van Riemsdyk,L
8474096,Nick Spaling,C
8474113,TJ Brennan,D
8474581,Jake Gardiner,D
8474638,Andrew Campbell,D
8474727,Ben Smith,R
8475098,Tyler Bozak,C
8475172,Nazem Kadri,C
8475180,Peter Holland,C
8475278,Byron Froese,C
8475716,Martin Marincin,D
8475786,Zach Hyman,L
8475842,Sam Carrick,C
8476062,Mark Arcobello,R
8476302,Frank Corrado,D
8476410,Josh Leivo,L
8476449,Scott Harrington,D
8476478,Stuart Percy,D
8476853,Morgan Rielly,D
8476894,Brendan Leipsic,L
8476941,Connor Carrick,D
8477015,Connor Brown,R
8477033,Viktor Loov,D
8477427,Tobias Lindberg,R
8477512,Frederik Gauthier,C
8477642,Rinat Valiev,D
8477939,William Nylander,R
8477953,Kasperi Kapanen,R
8478373,Nikita Soshnikov,R
8473503,James Reimer,G
8473541,Jonathan Bernier,G
8476343,Garret Sparks,G
8470611,Eric Fehr,C
8470619,Brian Boyle,C
8474709,Matt Martin,L
8476289,Alexey Marchenko,D
8476495,Seth Griffith,C
8478483,Mitchell Marner,R
8479318,Auston Matthews,C
8479458,Nikita Zaitsev,D
8470147,Curtis McElhinney,G
8473523,Jhonas Enroth,G
8475883,Frederik Andersen,G
8477312,Antoine Bibeau,G
8466139,Patrick Marleau,C
8468493,Ron Hainsey,D
