,name,position
8475869,Brandon Davidson,D
8476336,Iiro Pakarinen,R
8476431,Adam Clendening,D
8476454,Ryan Nugent-Hopkins,C
8476472,Oscar Klefbom,D
8476779,Brad Hunt,D
8476852,Griffin Reinhart,D
8476855,Nail Yakupov,R
8476915,Jujhar Khaira,L
8477249,Andrew Miller,C
8477415,Anton Slepyshev,L
8477498,Darnell Nurse,D
8477851,Jordan Oesterle,D
8477934,Leon Draisaitl,C
8478402,Connor McDavid,C
8475195,Anders Nilsson,G
8475660,Cam Talbot,G
8476316,Laurent Brossoit,G
8471729,Kris Russell,D
8471976,David Desharnais,C
8473473,Milan Lucic,L
8475192,Taylor Beck,L
8475752,Tyler Pitlick,C
8476416,Dillon Simpson,D
8476457,Adam Larsson,D
8476988,Matt Benning,D
8479344,Jesse Puljujarvi,R
8479465,Drake Caggiula,C
8475361,Jonas Gustavsson,G
8469500,Michael Cammalleri,L
8469638,Jussi Jokinen,L
8474089,Brad Malone,C
8476397,Keegan Lowe,D
8476427,Ty Rattie,R
8476458,Ryan Strome,C
8476857,Pontus Aberg,L
8477573,Nathan Walker,L
8478451,Ethan Bear,D
8479483,Yohann Auvitu,D
8479977,Kailer Yamamoto,R
8471219,Al Montoya,G
8470803,Kyle Brodziak,C
8474040,Sam Gagner,C
8474520,Jason Garrison,D
8475163,Alex Chiasson,R
8475227,Chris Wideman,D
8475430,Brandon Manning,D
8475727,Ryan Spooner,C
8475755,Alexander Petrovic,D
8475857,Kevin Gravel,D
8476356,Tobias Rieder,R
8477458,Valentin Zykov,L
8477529,Colby Cave,C
8477680,Josh Currie,R
8478442,Cooper Marody,C
8478452,Caleb Jones,D
8479466,Patrick Russell,R
8479970,Joseph Gambardella,C
8480803,Evan Bouchard,D
8475156,Mikko Koskinen,G
8476932,Anthony Stolarz,G
8467875,Daniel Sedin,L
8467876,Henrik Sedin,C
8468085,Radim Vrbata,R
8469465,Dan Hamhuis,D
8470274,Chris Higgins,L
8470358,Alexandre Burrows,R
8471283,Brandon Prust,L
8471303,Alexander Edler,D
8471490,Adam Cracknell,R
8471498,Jannik Hansen,R
8473415,Alex Biega,D
8473432,Derek Dorsett,R
8474091,Brandon Sutter,C
8474134,Yannick Weber,D
8474579,Luca Sbisa,D
8474749,Matt Bartkowski,D
8475223,Linden Vey,R
8475690,Christopher Tanev,D
8475770,Emerson Etem,R
8475836,Alex Friesen,C
8476166,Taylor Fedun,D
8476388,Andrey Pedan,D
8476414,Alexandre Grenier,R
8476440,Markus Granlund,C
8476466,Sven Baertschi,L
8476867,Brendan Gaunce,C
8477018,Ben Hutton,D
8477445,Hunter Shinkaruk,C
8477500,Bo Horvat,C
8477589,Ronalds Kenins,L
8477816,Michael Zalewski,L
8477937,Jake Virtanen,R
8477955,Jared McCann,C
8477997,Nikita Tryamkin,D
8468011,Ryan Miller,G
8473614,Richard Bachman,G
8474593,Jacob Markstrom,G
8470626,Loui Eriksson,L
8471681,Jack Skille,R
8474707,Philip Larsen,D
8475210,Anton Rodin,R
8475213,Drew Shore,C
8475790,Erik Gudbranson,D
8475808,Michael Chaput,C
8476390,Joseph Cramarossa,C
8476423,Reid Boucher,C
8476425,Joseph LaBate,C
8477091,Evan McEneny,D
8477126,Jayson Megna,C
8477916,Borna Rendulic,R
8477958,Nikolay Goldobin,R
8478444,Brock Boeser,R
8479442,Troy Stecher,D
8479969,Griffen Molino,C
8469638,Jussi Jokinen,L
8470598,Thomas Vanek,L
8474040,Sam Gagner,C
8474584,Michael Del Zotto,D
8475343,Nic Dowd,C
8475423,Darren Archibald,R
8475788,Alexander Burmistrov,C
8476884,Derrick Pouliot,D
8476894,Brendan Leipsic,L
8477085,Ashton Sautner,D
8477353,Tyler Motte,C
8478874,Adam Gaudette,C
8480163,Philip Holm,D
8475195,Anders Nilsson,G
8477967,Thatcher Demko,G
8474291,Jay Beagle,C
8474568,Luke Schenn,D
8474849,Antoine Roussel,L
8475727,Ryan Spooner,C
8476410,Josh Leivo,L
8476871,Tanner Pearson,L
8477213,Tim Schaller,C
8478465,Guillaume Brisebois,D
8479772,Zack MacEwen,C
8480012,Elias Pettersson,C
8480800,Quinn Hughes,D
8481425,Josh Teves,D
8481479,Brogan Rafferty,D
8480022,Michael Dipietro,G
8467423,Shawn Horcoff,C
8469490,Tim Jackman,R
8469598,Kevin Bieksa,D
8470612,Ryan Getzlaf,C
8470616,Ryan Kesler,C
8470621,Corey Perry,R
8470775,Nate Thompson,C
8470886,Clayton Stoner,D
8471390,Mike Santorelli,C
8471699,Andrew Cogliano,C
8473465,Jamie McGinn,L
8473485,Chris Stewart,R
8473560,Korbinian Holzer,D
8474034,Pat Maroon,L
8474102,David Perron,L
8474176,Carl Hagelin,L
8475155,Simon Despres,D
8475164,Jakob Silfverberg,R
8475204,Brandon Pirri,C
8475222,Sami Vatanen,D
8475764,Cam Fowler,D
8475780,Chris Wagner,R
8475958,Michael Sgarbossa,C
8476116,Ryan Garbutt,C
8476158,Harry Zolnierczyk,L
8476312,Josh Manson,D
8476384,Max Friberg,R
8476474,Stefan Noesen,R
8476483,Rickard Rakell,L
8476854,Hampus Lindholm,D
8477447,Shea Theodore,D
8477941,Nick Ritchie,L
8478137,Jiri Sekac,L
8471418,Anton Khudobin,G
8475883,Frederik Andersen,G
8476434,John Gibson,G
8468535,Antoine Vermette,C
8470622,Patrick Eaves,R
8471664,Mason Raymond,L
8471766,Jared Boll,R
8474130,Corey Tropp,R
8475770,Emerson Etem,R
8476390,Joseph Cramarossa,C
8476400,Logan Shaw,R
8476866,Nicolas Kerdiles,L
8477034,Jaycob Megna,D
8477466,Nick Sorensen,R
8477986,Brandon Montour,D
8478131,Ondrej Kase,R
8478491,Jacob Larsson,D
8479290,Kalle Kossila,C
8473541,Jonathan Bernier,G
8474682,Dustin Tokarski,G
8466251,Jason Chimera,L
8467400,Francois Beauchemin,D
8467967,Chris Kelly,C
8474641,Adam Henrique,C
8474683,Derek Grant,C
8475436,Mike Liambas,L
8476407,Andy Welinski,D
8476806,J.T. Brown,R
8476971,Kevin Roy,C
8477010,Joseph Blandisi,C
8477929,Dennis Rasmussen,C
8477969,Marcus Pettersson,D
8478873,Troy Terry,R
8479613,Giovanni Fiore,L
8468011,Ryan Miller,G
8473499,Reto Berra,G
8471490,Adam Cracknell,R
8474568,Luke Schenn,D
8474584,Michael Del Zotto,D
8475842,Sam Carrick,C
8476043,Ben Street,C
8476207,Brian Gibbons,C
8476857,Pontus Aberg,L
8476913,Devin Shore,C
8477009,Jake Dotchin,D
8477205,Andrej Sustr,D
8477240,Carter Rowney,C
8478029,Chase De Leo,C
8478425,Brendan Guhle,D
8478466,Daniel Sprong,R
8479351,Sam Steel,C
8479368,Max Jones,L
8479372,Josh Mahura,D
8480031,Max Comtois,L
8480082,Justin Kloos,C
8480748,Kiefer Sherwood,R
8480806,Isac Lundestrom,C
8473434,Chad Johnson,G
8479294,Kevin Boyle,G
8468635,Travis Moen,L
8469455,Jason Spezza,C
8469466,Ales Hemsky,R
8469544,Patrick Sharp,L
8469665,Johnny Oduya,D
8469759,Vernon Fiddler,C
8470622,Patrick Eaves,R
8471274,Alex Goligoski,D
8471729,Kris Russell,D
8473994,Jamie Benn,L
8474098,Colton Sceviour,C
8474218,Jason Demers,D
8474818,Jordie Benn,D
8474849,Antoine Roussel,L
8475236,Cody Eakin,C
8475310,Curtis McKenzie,L
8475730,Stephen Johns,D
8475747,Patrik Nemeth,D
8475794,Tyler Seguin,C
8475906,John Klingberg,D
8476279,Jyrki Jokipakka,D
8476439,Brett Ritchie,R
8476467,Jamie Oleksiak,D
8476889,Radek Faksa,C
8476902,Esa Lindell,D
8476913,Devin Shore,C
8477406,Mattias Janmark,C
8477450,Jason Dickinson,C
8477501,Valeri Nichushkin,R
8470140,Kari Lehtonen,G
8474550,Antti Niemi,G
8469465,Dan Hamhuis,D
8470201,Jiri Hudler,R
8471232,Lauri Korpikoski,L
8471490,Adam Cracknell,R
8474688,Greg Pateryn,D
8475413,Justin Dowling,C
8476471,Mark McNeill,C
8476966,Gemel Smith,C
8477461,Remi Elie,L
8477945,Julius Honka,D
8478495,Denis Gurianov,R
8470760,Marc Methot,D
8471228,Alexander Radulov,R
8471691,Martin Hanzal,C
8475752,Tyler Pitlick,C
8477471,Dillon Heatherington,D
8470093,Mike McKenna,G
8471750,Ben Bishop,G
8471260,Blake Comeau,L
8471392,Roman Polak,D
8471699,Andrew Cogliano,C
8473588,Erik Condra,R
8473933,Ben Lovejoy,D
8475692,Mats Zuccarello,R
8476166,Taylor Fedun,D
8476941,Connor Carrick,D
8477810,Joel Hanley,D
8478449,Roope Hintz,L
8479416,Ben Gleason,D
8479945,Gavin Bayreuther,D
8480036,Miro Heiskanen,D
8480769,Joel L'Esperance,C
8471418,Anton Khudobin,G
8479016,Landon Bow,G
8467329,Vincent Lecavalier,C
8467452,Rob Scuderi,D
8468483,Marian Gaborik,R
8469555,Christian Ehrhoff,D
8470121,Matt Greene,D
8470604,Jeff Carter,C
8470606,Dustin Brown,R
8471240,Jeff Schultz,D
8471346,Kris Versteeg,R
8471685,Anze Kopitar,C
8473453,Trevor Lewis,C
8473473,Milan Lucic,L
8473571,Jamie McBain,D
8474100,Dwight King,L
8474162,Jake Muzzin,D
8474166,Alec Martinez,D
8474563,Drew Doughty,D
8474568,Luke Schenn,D
8475160,Kyle Clifford,L
8475188,Brayden McNabb,D
8475325,Jordan Nolan,C
8475343,Nic Dowd,C
8475726,Tyler Toffoli,R
8475738,Jordan Weal,C
8475762,Derek Forbort,D
8475857,Kevin Gravel,D
8476352,Michael Mersch,L
8476404,Andy Andreoff,C
8476406,Nick Shore,C
8476871,Tanner Pearson,L
8469514,Peter Budaj,G
8471734,Jonathan Quick,G
8473523,Jhonas Enroth,G
8462042,Jarome Iginla,R
8470104,Tom Gilbert,D
8471682,Devin Setoguchi,R
8473962,Teddy Purcell,L
8476983,Paul LaDue,D
8477380,Jonny Brodzinski,C
8477960,Adrian Kempe,C
8471750,Ben Bishop,G
8473553,Jeff Zatkoff,G
8475789,Jack Campbell,G
8469500,Michael Cammalleri,L
8469638,Jussi Jokinen,L
8469639,Brooks Laich,C
8470602,Dion Phaneuf,D
8470775,Nate Thompson,C
8471338,Torrey Mitchell,C
8476020,Andrew Crescenzi,C
8476356,Tobias Rieder,R
8477073,Kurtis MacDermid,D
8477428,Justin Auger,R
8477850,Christian Folin,D
8478020,Michael Amadio,C
8480113,Alex Iafallo,L
8480147,Oscar Fantenberg,D
8480771,Daniel Brickley,D
8475311,Darcy Kuemper,G
8469454,Ilya Kovalchuk,L
8474176,Carl Hagelin,L
8476894,Brendan Leipsic,L
8477957,Nikita Scherbak,R
8478455,Austin Wagner,L
8478911,Matt Roy,D
8479336,Carl Grundstrom,R
8479644,Matt Luff,R
8479994,Jaret Anderson-Dolan,C
8480336,Sean Walker,D
8480776,Sheldon Rempal,R
8481481,Blake Lizotte,C
8477361,Cal Petersen,G
8464977,Dainius Zubrus,C
8466138,Joe Thornton,C
8466139,Patrick Marleau,C
8468208,Joel Ward,R
8468542,Paul Martin,D
8470613,Brent Burns,D
8470794,Joe Pavelski,C
8471371,Mike Brown,R
8471392,Roman Polak,D
8471709,Marc-Edouard Vlasic,D
8473562,John McCarthy,C
8474027,Justin Braun,D
8474053,Logan Couture,C
8474096,Nick Spaling,C
8474230,Micheal Haley,C
8474516,Bryan Lerg,C
8474727,Ben Smith,R
8474739,Tommy Wingels,C
8475455,Brenden Dillon,D
8475820,Joonas Donskoi,R
8476331,Dylan DeMelo,D
8476442,Matt Nieto,L
8476624,Barclay Goodrow,R
8476807,Matt Tennyson,D
8476881,Tomas Hertl,C
8476919,Chris Tierney,C
8477509,Mirco Mueller,D
8477846,Ryan Carpenter,C
8477922,Melker Karlsson,C
8477958,Nikolay Goldobin,R
8471774,Alex Stalock,G
8473503,James Reimer,G
8474889,Martin Jones,G
8471498,Jannik Hansen,R
8473673,David Schlemko,D
8474571,Mikkel Boedker,L
8475834,Marcus Sorensen,L
8475841,Tim Heed,D
8476982,Danny O'Regan,C
8478099,Kevin Labanc,R
8478414,Timo Meier,R
8477180,Aaron Dell,G
8470611,Eric Fehr,C
8475169,Evander Kane,L
8477046,Joakim Ryan,D
8479580,Dylan Gambrell,C
8474578,Erik Karlsson,D
8474679,Gustav Nyquist,C
8478078,Rourke Chartier,C
8478136,Jacob Middleton,D
8480160,Radim Simek,D
8480780,Lukas Radil,C
8480965,Antti Suomela,C
8468486,Scott Hartnell,L
8469492,Fedor Tyutin,D
8470169,Gregory Campbell,C
8470920,David Clarkson,R
8471273,Brandon Dubinsky,C
8471504,Rene Bourque,R
8471677,Jack Johnson,D
8471766,Jared Boll,R
8473422,Nick Foligno,L
8473550,Andrew Bodnarchuk,D
8473992,Justin Falk,D
8474597,Cody Goloubef,D
8474685,Matt Calvert,L
8474715,Cam Atkinson,R
8474774,Dalton Prout,D
8475233,David Savard,D
8475246,Kevin Connauton,D
8475793,Ryan Johansen,C
8475808,Michael Chaput,C
8475829,John Ramage,D
8476394,Michael Paliotta,D
8476432,Boone Jenner,C
8476438,Brandon Saad,L
8476448,William Karlsson,C
8476850,Ryan Murray,D
8476981,Josh Anderson,R
8477416,Oliver Bjorkstrand,R
8477495,Seth Jones,D
8477505,Alexander Wennberg,C
8477510,Kerby Rychel,L
8477947,Sonny Milano,L
8478541,Markus Hannikainen,L
8478567,Dean Kukan,D
8470147,Curtis McElhinney,G
8475683,Sergei Bobrovsky,G
8476341,Anton Forsberg,G
8476914,Joonas Korpisalo,G
8470724,Kyle Quincey,D
8471232,Lauri Korpikoski,L
8474040,Sam Gagner,C
8476310,Lukas Sedlak,C
8476391,TJ Tynan,C
8476449,Scott Harrington,D
8478460,Zach Werenski,D
8478506,Gabriel Carlsson,D
8478906,Markus Nutivaara,D
8469638,Jussi Jokinen,L
8470598,Thomas Vanek,L
8471710,Taylor Chorney,D
8471804,Nathan Gerbe,C
8473914,Mark Letestu,C
8474013,Ian Cole,D
8474610,Zac Dalpe,C
8475147,Jordan Schroeder,C
8476283,Alex Broadhurst,C
8477353,Tyler Motte,C
8478550,Artemi Panarin,L
8479400,Pierre-Luc Dubois,C
8480762,Eric Robinson,L
8471717,Adam McQuaid,D
8474062,Riley Nash,C
8475168,Matt Duchene,C
8476288,Ryan Dzingel,C
8476431,Adam Clendening,D
8477407,Anthony Duclair,L
8478831,Kevin Stenlund,C
8478949,Kole Sherwood,R
8480074,Alexandre Texier,C
8478882,Vladislav Gavrikov,D
8468526,Jarret Stoll,C
8469459,Mikko Koivu,C
8469506,Jason Pominville,R
8470598,Thomas Vanek,L
8470600,Ryan Suter,D
8470610,Zach Parise,L
8470729,Tyson Strachan,D
8470871,Chris Porter,L
8470877,David Jones,R
8473646,Ryan Carter,L
8474610,Zac Dalpe,C
8474618,Marco Scandella,D
8474716,Jared Spurgeon,D
8475147,Jordan Schroeder,C
8475287,Erik Haula,L
8475613,Nate Prosser,D
8475722,Jason Zucker,L
8475745,Charlie Coyle,C
8475757,Brett Bulmer,R
8475798,Mikael Granlund,C
8475799,Nino Niederreiter,R
8476235,Justin Fontaine,R
8476344,Tyler Graovac,C
8476422,Mike Reilly,D
8476463,Jonas Brodin,D
8476545,Kurtis Gabriel,R
8476856,Matt Dumba,D
8477006,Christoph Bertschy,C
8477467,Gustav Olofsson,D
8477850,Christian Folin,D
8477923,Michael Keranen,L
8471227,Devan Dubnyk,G
8475311,Darcy Kuemper,G
8470595,Eric Staal,C
8471691,Martin Hanzal,C
8473466,Ryan White,C
8473485,Chris Stewart,R
8475800,Teemu Pulkkinen,L
8476219,Patrick Cannone,C
8476619,Zack Mitchell,R
8477949,Alex Tuch,R
8478493,Joel Eriksson Ek,C
8471774,Alex Stalock,G
8464989,Matt Cullen,C
8470724,Kyle Quincey,D
8471476,Daniel Winnik,L
8471811,Cal O'Reilly,C
8474589,Tyler Ennis,R
8475157,Landon Ferraro,C
8475220,Marcus Foligno,L
8476372,Nick Seeler,D
8476415,Kyle Rau,C
8476465,Ryan Murphy,D
8477369,Carson Soucy,D
8478011,Louie Belpedio,D
8478413,Jordan Greenway,L
8479316,Luke Kunin,C
8480082,Justin Kloos,C
8468611,Matt Hendricks,C
8470611,Eric Fehr,C
8474688,Greg Pateryn,D
8474749,Matt Bartkowski,D
8475868,Anthony Bitetto,D
8476177,Matt Read,R
8476437,Victor Rask,C
8476779,Brad Hunt,D
8476806,J.T. Brown,R
8476857,Pontus Aberg,L
8477942,Kevin Fiala,L
8477987,Ryan Donato,C
8481477,Nico Sturm,C
8469501,Chris Thorburn,R
8470614,Mark Stuart,D
8470828,Toby Enstrom,D
8470834,Dustin Byfuglien,D
8471217,Andrew Ladd,L
8471218,Blake Wheeler,R
8471226,Drew Stafford,R
8471385,Adam Pardy,D
8473412,Bryan Little,C
8473618,Mathieu Perreault,L
8474061,Anthony Peluso,R
8474074,Paul Postma,D
8474094,Matt Halischuk,R
8474574,Tyler Myers,D
8474616,Patrice Cormier,C
8475279,Ben Chiarot,D
8475788,Alexander Burmistrov,C
8475815,Julian Melchiori,D
8476392,Adam Lowry,C
8476460,Mark Scheifele,C
8476469,Joel Armia,R
8476885,Jacob Trouba,D
8476910,Scott Kosmachuk,R
8477076,JC Lipon,R
8477429,Andrew Copp,C
8477448,Marko Dano,C
8477464,Nic Petan,C
8477504,Josh Morrissey,D
8477940,Nikolaj Ehlers,L
8478029,Chase De Leo,C
8479293,Brandon Tanev,L
8471715,Ondrej Pavelec,G
8474636,Michael Hutchinson,G
8476945,Connor Hellebuyck,G
8473565,Brian Strait,D
8473574,Shawn Matthias,L
8475769,Quinton Howden,C
8478031,Nelson Nogier,D
8478398,Kyle Connor,L
8478458,Jack Roslovic,C
8479339,Patrik Laine,R
8477480,Eric Comrie,G
8468611,Matt Hendricks,C
8471669,Paul Stastny,C
8475179,Dmitry Kulikov,D
8476476,Joe Morrow,D
8477359,Tucker Poolman,D
8477962,Brendan Lemieux,L
8478915,Sami Niku,D
8473461,Steve Mason,G
8475763,Kevin Hayes,R
8476470,Nathan Beaulieu,D
8476799,Cameron Schilling,D
8478891,Mason Appleton,C
8480005,Kristian Vesalainen,L
8480944,Par Lindholm,C
8476316,Laurent Brossoit,G
8462038,Shane Doan,R
8467338,Alex Tanguay,L
8468535,Antoine Vermette,C
8469760,Zbynek Michalek,D
8470159,Boyd Gordon,C
8470755,Brad Richardson,C
8471231,Kyle Chipchura,C
8471269,Nicklas Grossmann,D
8471691,Martin Hanzal,C
8471703,Steve Downie,R
8471856,Joe Vitale,C
8473722,John Scott,L
8474005,Alex Grant,D
8474138,Dustin Jeffrey,L
8474554,Eric Selleck,L
8474571,Mikkel Boedker,L
8474588,Viktor Tikhonov,R
8474628,Michael Stone,D
8475171,Oliver Ekman-Larsson,D
8475194,Philip Samuelsson,D
8475206,Stefan Elliott,D
8475246,Kevin Connauton,D
8475414,Craig Cunningham,L
8475749,Christian Thomas,L
8475797,Jarred Tinordi,D
8476356,Tobias Rieder,R
8476403,Klas Dahlbeck,D
8476473,Connor Murphy,D
8476921,Jordan Martinook,L
8477407,Anthony Duclair,L
8477460,Laurent Dauphin,C
8477503,Max Domi,C
8477715,Tyler Gaudet,C
8478137,Jiri Sekac,L
8478928,Sergei Plotnikov,L
8469608,Mike Smith,G
8474765,Anders Lindback,G
8475839,Louis Domingue,G
8478999,Niklas Treutle,G
8468085,Radim Vrbata,R
8471274,Alex Goligoski,D
8473465,Jamie McGinn,L
8473466,Ryan White,C
8473571,Jamie McBain,D
8474568,Luke Schenn,D
8475180,Peter Holland,C
8475788,Alexander Burmistrov,C
8475800,Teemu Pulkkinen,L
8477591,Josh Jooris,R
8477943,Brendan Perlini,L
8477950,Tony DeAngelo,D
8477989,Christian Dvorak,C
8478432,Christian Fischer,R
8478440,Dylan Strome,C
8478474,Lawson Crouse,L
8479343,Clayton Keller,R
8479345,Jakob Chychrun,D
8471251,Justin Peters,G
8476986,Marek Langhamer,G
8471769,Niklas Hjalmarsson,D
8474131,Mario Kempe,R
8474218,Jason Demers,D
8474613,Derek Stepan,C
8474736,Zac Rinaldo,L
8475209,Richard Panik,R
8475878,Freddie Hamilton,C
8476326,Josh Archibald,R
8476393,Nick Cousins,C
8476431,Adam Clendening,D
8477541,Dakota Mermis,D
8477634,Trevor Murphy,D
8477810,Joel Hanley,D
8478447,Nicholas Merkley,R
8478476,Kyle Capobianco,D
8475311,Darcy Kuemper,G
8475809,Scott Wedgewood,G
8477293,Antti Raanta,G
8478499,Adin Hill,G
8473546,Michael Grabner,L
8475738,Jordan Weal,C
8476851,Alex Galchenyuk,C
8476994,Vinnie Hinostroza,R
8477851,Jordan Oesterle,D
8477951,Nick Schmaltz,C
8478047,Michael Bunting,L
8478856,Conor Garland,R
8480950,Ilya Lyubushkin,D
8475717,Calvin Pickard,G
8480112,Hunter Miska,G
8468674,Deryk Engelland,D
8471707,James Neal,L
8471817,Ryan Reaves,R
8474102,David Perron,L
8474520,Jason Garrison,D
8474579,Luca Sbisa,D
8475188,Brayden McNabb,D
8475191,Reilly Smith,R
8475193,Tomas Tatar,L
8475204,Brandon Pirri,C
8475236,Cody Eakin,C
8475287,Erik Haula,L
8475715,Oscar Lindberg,L
8475750,Jon Merrill,D
8476448,William Karlsson,C
8476525,Colin Miller,D
8476539,Jonathan Marchessault,C
8476617,Tomas Hyka,R
8476779,Brad Hunt,D
8476870,Stefan Matteau,C
8476894,Brendan Leipsic,L
8477220,Nate Schmidt,D
8477447,Shea Theodore,D
8477478,William Carrier,L
8477846,Ryan Carpenter,C
8477930,Pierre-Edouard Bellemare,C
8477931,Tomas Nosek,L
8477949,Alex Tuch,R
8479650,Vadim Shipachyov,C
8480727,Zach Whitecloud,D
8470594,Marc-Andre Fleury,G
8476509,Maxime Lagace,G
8476861,Oscar Dansk,G
8476876,Malcolm Subban,G
8480263,Dylan Ferguson,G
8471669,Paul Stastny,C
8474157,Max Pacioretty,L
8474207,Nick Holden,D
8475913,Mark Stone,R
8477458,Valentin Zykov,L
8477901,Daniel Carr,L
8481486,Jimmy Schuldt,D
