,date,meanCumstatpoints,cumStatpoints
date,2015-10-07,0.359375,0.16696175637393768
date,2015-10-08,0.34080717488789236,0.32529710108106047
date,2015-10-09,0.5126582278481012,0.46937857273451905
date,2015-10-10,0.7602663706992231,0.6704771317797097
date,2015-10-11,1.4,0.7633949788052055
date,2015-10-12,0.9903846153846154,0.9346378058553978
date,2015-10-13,1.1972318339100345,1.0937877514527004
date,2015-10-14,1.4404761904761905,1.3389876255477584
date,2015-10-15,1.73767258382643,1.520424841633046
date,2015-10-16,1.5403587443946187,1.7048021838248928
date,2015-10-17,1.971608832807571,1.8630849516285763
date,2015-10-18,1.8012820512820513,1.9971010771461182
date,2015-10-19,2.378787878787879,2.137885693851415
date,2015-10-20,2.304740406320542,2.3046344260980716
date,2015-10-21,2.1115384615384616,2.472601303413391
date,2015-10-22,2.4194831013916502,2.6453213570293714
date,2015-10-23,2.813698630136986,2.87570670376382
date,2015-10-24,2.8231382978723403,3.0604303491137084
date,2015-10-25,2.9842931937172774,3.2793467426292744
date,2015-10-26,2.739795918367347,3.4049754643729293
date,2015-10-27,3.329073482428115,3.5853192089990915
date,2015-10-28,3.0677966101694913,3.7716798626377974
date,2015-10-29,3.356573705179283,3.9401165972856087
date,2015-10-30,3.8409475465313028,4.147648844449153
date,2015-10-31,3.9073482428115014,4.344320006284267
date,2015-11-01,4.377926421404682,4.5665148578669745
date,2015-11-02,3.6600985221674875,4.7061204900973985
date,2015-11-03,4.5776614310645725,4.885307612197177
date,2015-11-04,3.8646616541353382,5.093150164754207
date,2015-11-05,5.010791366906475,5.25024148886206
date,2015-11-06,4.311881188118812,5.387088318020896
date,2015-11-07,4.917941585535466,5.512443410670035
date,2015-11-08,5.3112033195020745,5.685941465281957
date,2015-11-09,4.731343283582089,5.921703166689931
date,2015-11-10,5.371727748691099,6.108390202271261
date,2015-11-11,5.587786259541985,6.289260820526997
date,2015-11-12,5.786821705426356,6.478337834823065
date,2015-11-13,5.1125,6.639008278637984
date,2015-11-14,6.115065243179123,6.832449348068287
date,2015-11-15,6.276595744680851,7.033441854045422
date,2015-11-16,6.560526315789474,7.231503580599768
date,2015-11-17,6.1607843137254905,7.431914623203778
date,2015-11-18,6.569832402234637,7.60581115255317
date,2015-11-19,6.815745393634841,7.732658799665027
date,2015-11-20,6.881081081081081,7.882080742854676
date,2015-11-21,7.115007012622721,8.082772866864863
date,2015-11-22,7.19921875,8.282401053833702
date,2015-11-23,7.254901960784314,8.408923176689768
date,2015-11-24,7.67741935483871,8.663697918533869
date,2015-11-25,7.6767922235722965,8.845469162411206
date,2015-11-27,7.9572538860103625,9.00133523999931
date,2015-11-28,8.2925877763329,9.184996003950875
date,2015-11-29,8.031746031746032,9.310361353112256
date,2015-11-30,8.344444444444445,9.472107234971453
date,2015-12-01,8.767145135566189,9.628452256681019
date,2015-12-02,8.46360153256705,9.783315335056844
date,2015-12-03,9.526717557251908,9.924288022814991
date,2015-12-04,8.621559633027523,10.079861482284286
date,2015-12-05,8.96,10.248600292482585
date,2015-12-06,9.091503267973856,10.442938273189505
date,2015-12-07,10.005524861878452,10.632880833407368
date,2015-12-08,9.546112115732369,10.835351006401442
date,2015-12-09,9.658088235294118,10.975410996403108
date,2015-12-10,9.985294117647058,11.174683339901414
date,2015-12-11,9.777777777777779,11.369810818654955
date,2015-12-12,10.752791068580542,11.53356555703322
date,2015-12-13,10.555555555555555,11.665199173652674
date,2015-12-14,9.929936305732484,11.817596279442897
date,2015-12-15,10.76017441860465,12.011400219096366
date,2015-12-16,10.838461538461539,12.132908172898938
date,2015-12-17,10.854077253218884,12.317015781096808
date,2015-12-18,11.151436031331592,12.503821896526656
date,2015-12-19,11.115625,12.647554191144218
date,2015-12-20,11.68157894736842,12.848061124199237
date,2015-12-21,11.647524752475247,13.089095539255473
date,2015-12-22,12.0,13.223486826555177
date,2015-12-26,12.256183745583039,13.421306624551153
date,2015-12-27,11.943781942078365,13.550315219654696
date,2015-12-28,12.983695652173912,13.718223829089355
date,2015-12-29,12.68131868131868,13.948695098006597
date,2015-12-30,12.496969696969696,14.089479714711894
date,2015-12-31,12.807622504537205,14.25811464579265
date,2016-01-01,11.76865671641791,14.421067586471692
date,2016-01-02,13.288359788359788,14.590679529454738
date,2016-01-03,14.274590163934427,14.754428194294752
date,2016-01-04,13.08,14.864500105386492
date,2016-01-05,13.968190854870775,15.051074708757767
date,2016-01-06,12.867469879518072,15.200806781524754
date,2016-01-07,14.742459396751741,15.324769106442758
date,2016-01-08,12.76657824933687,15.514548263497485
date,2016-01-09,14.266666666666667,15.670886228334034
date,2016-01-10,14.08991825613079,15.841784175860488
date,2016-01-11,14.058823529411764,16.01486643992759
date,2016-01-12,14.19755600814664,16.206000911405695
date,2016-01-13,13.332089552238806,16.35855260055203
date,2016-01-14,15.262729124236252,16.499537928523505
date,2016-01-15,13.971722365038561,16.669130914097035
date,2016-01-16,15.273716951788492,16.8165278098451
date,2016-01-17,14.844444444444445,16.960034262473364
date,2016-01-18,15.063636363636364,17.127567956352667
date,2016-01-19,15.173828125,17.334455350120372
date,2016-01-20,14.5625,17.45786186570111
date,2016-01-21,15.408874801901744,17.62425991187989
date,2016-01-22,15.938837920489297,17.742183173395425
date,2016-01-23,15.7211093990755,17.92472593912348
date,2016-01-24,16.65461847389558,18.057199174842562
date,2016-01-25,16.77237851662404,18.24137137802609
date,2016-01-26,16.005102040816325,18.40097516288281
date,2016-01-27,16.16796875,18.529826083562696
date,2016-02-02,17.155352480417754,18.740286220102167
date,2016-02-03,16.614583333333332,18.914507183274974
date,2016-02-04,17.62236842105263,19.128462752083678
date,2016-02-05,16.607003891050585,19.330929656108104
date,2016-02-06,17.535714285714285,19.51713407177428
date,2016-02-07,18.041450777202073,19.666380354561344
date,2016-02-08,16.77777777777778,19.802315723357903
date,2016-02-09,17.222368421052632,20.00221135478775
date,2016-02-10,17.66346153846154,20.107190653109825
date,2016-02-11,17.830985915492956,20.327216188759987
date,2016-02-12,18.40958605664488,20.528639408346844
date,2016-02-13,18.33177570093458,20.692186397659636
date,2016-02-14,18.30503144654088,20.84266655872294
date,2016-02-15,18.304250559284117,21.05261516162171
date,2016-02-16,18.842741935483872,21.199672641289077
date,2016-02-17,20.166666666666668,21.43196725885282
date,2016-02-18,19.4950213371266,21.628905512150098
date,2016-02-19,18.25974025974026,21.787288205943558
date,2016-02-20,19.11111111111111,21.997805203110698
date,2016-02-21,19.002604166666668,22.187754447681044
date,2016-02-22,21.00414937759336,22.390168844728287
date,2016-02-23,19.67361111111111,22.535352980705625
date,2016-02-24,20.60408163265306,22.696537001055976
date,2016-02-25,19.422776911076443,22.872660533249388
date,2016-02-26,19.881789137380192,22.992889696333496
date,2016-02-27,19.606896551724137,23.203556883986124
date,2016-02-28,20.324263038548754,23.35631298170378
date,2016-02-29,19.76578947368421,23.51280619774672
date,2016-03-01,19.75741710296684,23.689560915474104
date,2016-03-02,19.935135135135134,23.8854417821765
date,2016-03-03,20.247753530166882,24.068534073812103
date,2016-03-04,21.705583756345177,24.28314128394713
date,2016-03-05,20.527298850574713,24.462034840001962
date,2016-03-06,21.628205128205128,24.640723007358687
date,2016-03-07,21.208791208791208,24.817369024231333
date,2016-03-08,21.193548387096776,24.981286597108973
date,2016-03-09,22.212598425196852,25.154440590253596
date,2016-03-10,20.514285714285716,25.31855522915577
date,2016-03-11,21.031152647975077,25.47920758148957
date,2016-03-12,21.778645833333332,25.66129268536115
date,2016-03-13,20.715686274509803,25.791104383411476
date,2016-03-14,21.630727762803236,26.02402513201986
date,2016-03-15,22.021526418786692,26.184040211046153
date,2016-03-16,22.43766578249337,26.36889003934621
date,2016-03-17,22.815891472868216,26.563369254050734
date,2016-03-18,23.844875346260388,26.703646890141858
date,2016-03-19,22.298295454545453,26.86136965604451
date,2016-03-20,22.204597701149424,27.027980967952296
date,2016-03-21,24.330739299610894,27.244909793692752
date,2016-03-22,22.27659574468085,27.417514959607544
date,2016-03-23,28.51145038167939,27.612571508706864
date,2016-03-24,22.465346534653467,27.832052137465816
date,2016-03-25,22.730337078651687,28.02780602867121
date,2016-03-26,24.15273132664437,28.22669372799
date,2016-03-27,23.325,28.403237637338442
date,2016-03-28,22.830303030303032,28.576871997941645
date,2016-03-29,24.042628774422734,28.750164607847097
date,2016-03-30,23.03723404255319,28.942919716038286
date,2016-03-31,23.71383647798742,29.11604494988296
date,2016-04-01,25.865384615384617,29.36620838418237
date,2016-04-02,24.756168359941945,29.530736357144786
date,2016-04-03,26.058641975308642,29.738654379038255
date,2016-04-04,25.09657320872274,29.929700419651425
date,2016-04-05,25.5,30.122286555580335
date,2016-04-06,21.76243093922652,30.30452874173531
date,2016-04-07,25.479418886198548,30.50532578403617
date,2016-04-08,24.0,30.68186969338461
date,2016-04-09,25.073954983922828,30.87358122127751
date,2016-04-10,11.094017094017094,31.020502603326374
date,2016-10-12,26.66532258064516,31.250923877200083
date,2016-10-13,26.911917098445596,31.4579429146144
date,2016-10-14,26.14367816091954,31.67688726680091
date,2016-10-15,27.468033775633295,31.862947129361007
date,2016-10-16,25.625,32.07412405441895
date,2016-10-17,29.04850746268657,32.29255033660576
date,2016-10-18,27.654901960784315,32.47717141827733
date,2016-10-19,26.689922480620154,32.65724476522596
date,2016-10-20,27.100141043723553,32.818442158514195
date,2016-10-21,29.0,32.99555076196059
date,2016-10-22,27.80516129032258,33.190977975704534
date,2016-10-23,27.59288537549407,33.37828272662549
date,2016-10-24,28.422764227642276,33.50292861897677
date,2016-10-25,27.14950634696756,33.688371148653886
date,2016-10-26,29.523809523809526,33.876419172395956
date,2016-10-27,27.811287477954146,34.03455977624005
date,2016-10-28,28.58445040214477,34.193989862289165
date,2016-10-29,28.163779527559054,34.33226917794128
date,2016-10-30,28.856850715746422,34.511834342438405
date,2016-11-01,29.591946308724832,34.665242331487214
date,2016-11-02,28.900552486187845,34.86545205712226
date,2016-11-03,29.450134770889488,35.031376783953505
date,2016-11-04,28.403314917127073,35.27265517125728
date,2016-11-05,30.22552664188352,35.44594062326889
date,2016-11-06,28.509283819628646,35.636952112512276
date,2016-11-07,27.236559139784948,35.769335066607745
date,2016-11-08,30.408874801901742,35.95634879992372
date,2016-11-09,29.204419889502763,36.07698799357561
date,2016-11-10,30.338658146964857,36.24991018492497
date,2016-11-11,28.12534059945504,36.40055356089273
date,2016-11-12,32.31195335276968,36.59830874552425
date,2016-11-13,29.384615384615383,36.7535826012963
date,2016-11-14,32.58620689655172,36.87373498969134
date,2016-11-15,30.530663329161452,37.03945205103218
date,2016-11-16,34.166666666666664,37.169677821484576
date,2016-11-17,28.70846394984326,37.32988100601129
date,2016-11-18,33.69255663430421,37.46970883405937
date,2016-11-19,29.42995839112344,37.619202180175286
date,2016-11-20,31.741100323624597,37.76053353325614
date,2016-11-21,30.0913140311804,37.90953319886495
date,2016-11-22,32.83384615384615,38.08822136622167
date,2016-11-23,31.336,38.26786253713763
date,2016-11-24,34.45985401459854,38.379770893044245
date,2016-11-25,31.544668587896254,38.55181618616783
date,2016-11-26,32.38028169014085,38.687594026011425
date,2016-11-27,33.34508816120907,38.82217277170326
date,2016-11-28,32.89430894308943,38.99214444309136
date,2016-11-29,32.303664921465966,39.160588445879725
date,2016-11-30,32.54696132596685,39.33513025797182
date,2016-12-01,33.1644908616188,39.52132986003988
date,2016-12-02,36.447154471544714,39.63464430763195
date,2016-12-03,32.86876640419948,39.785239505895056
date,2016-12-04,33.32935560859188,39.985933185031264
date,2016-12-05,35.426415094339625,40.250661390707684
date,2016-12-06,33.65679442508711,40.42063306209578
date,2016-12-07,35.02459016393443,40.62817497450929
date,2016-12-08,33.9953125,40.79804041360277
date,2016-12-09,35.25401069518717,40.94462204393711
date,2016-12-10,34.37194127243067,41.16895877085022
date,2016-12-11,34.160714285714285,41.30354216039112
date,2016-12-12,34.38028169014085,41.45731465370796
date,2016-12-13,35.10886469673406,41.68057759873812
date,2016-12-14,37.316205533596836,41.92113566119543
date,2016-12-15,34.990328820116055,42.111644206354086
date,2016-12-16,35.893271461716935,42.279801794938514
date,2016-12-17,35.20524691358025,42.43609879070671
date,2016-12-18,35.95628415300546,42.599847455546715
date,2016-12-19,35.125984251968504,42.73702931631271
date,2016-12-20,35.8563829787234,42.905690035979994
date,2016-12-21,37.1044776119403,43.05130755743786
date,2016-12-22,34.5933014354067,43.21432132414925
date,2016-12-23,34.94473007712082,43.37734556732381
date,2016-12-27,37.87301587301587,43.59267899058924
date,2016-12-28,34.185534591194966,43.775300545277716
date,2016-12-29,35.606770833333336,43.97492873224655
date,2016-12-30,37.532751091703055,44.10477026520794
date,2016-12-31,36.86158192090395,44.294411916269866
date,2017-01-01,39.15,44.490571815545906
date,2017-01-02,34.854838709677416,44.60047464536101
date,2017-01-03,36.74704491725768,44.781697396651865
date,2017-01-04,35.969465648854964,44.93419615322043
date,2017-01-05,37.70616113744076,45.14227047890549
date,2017-01-06,35.362924281984334,45.29268579262822
date,2017-01-07,37.635778635778635,45.48103277984206
date,2017-01-08,39.22849462365591,45.68834948153874
date,2017-01-09,37.06719367588933,45.849945737235245
date,2017-01-10,38.02810304449649,46.04252722345905
date,2017-01-11,41.87083333333333,46.2593355331852
date,2017-01-12,38.05789473684211,46.459027397406665
date,2017-01-13,39.88444444444445,46.64486309145766
date,2017-01-14,40.659354838709675,46.846285005009705
date,2017-01-15,41.31380753138075,46.97652550188644
date,2017-01-16,39.217777777777776,47.134485841829786
date,2017-01-17,40.115716753022454,47.36477446096896
date,2017-01-18,38.46491228070175,47.59027683825306
date,2017-01-19,40.83139534883721,47.760446151119524
date,2017-01-20,38.96992481203007,47.9048297730639
date,2017-01-21,40.128798842257595,48.12132432257337
date,2017-01-22,42.91688311688312,48.310780192482504
date,2017-01-23,39.59162303664922,48.49199431822594
date,2017-01-24,42.092532467532465,48.677528330955425
date,2017-01-25,39.225806451612904,48.78243557759711
date,2017-01-26,41.59610705596107,48.94238539942324
date,2017-01-31,42.802455357142854,49.16430972156002
date,2017-02-01,44.06417112299465,49.33822013043127
date,2017-02-02,42.448412698412696,49.50506666130047
date,2017-02-03,44.67088607594937,49.690314267712054
date,2017-02-04,43.15260545905707,49.8678496081826
date,2017-02-05,46.48947368421052,50.009671585221525
date,2017-02-06,40.87567567567567,50.220620210901025
date,2017-02-07,44.16204379562044,50.394925953131334
date,2017-02-08,47.39344262295082,50.66910976402624
date,2017-02-09,43.88326300984529,50.87232671497511
date,2017-02-10,44.016806722689076,51.00897060765966
date,2017-02-11,43.547305389221556,51.19814466747205
date,2017-02-12,43.416666666666664,51.399216890201956
date,2017-02-13,48.86029411764706,51.59393443727744
date,2017-02-14,41.630289532293986,51.75638546158705
date,2017-02-15,45.00411522633745,51.93610310809727
date,2017-02-16,42.88180112570357,52.12176447222889
date,2017-02-17,45.505319148936174,52.22802690366762
date,2017-02-18,44.68162083936324,52.40081913728232
date,2017-02-19,45.13737075332349,52.568949658118704
date,2017-02-20,45.153284671532845,52.71816079932753
date,2017-02-21,45.683098591549296,52.89074588491186
date,2017-02-22,47.14207650273224,53.10399996005234
date,2017-02-23,45.526992287917736,53.26164977762773
date,2017-02-24,46.67790262172284,53.43391320188848
date,2017-02-25,45.3979797979798,53.63945874227821
date,2017-02-26,48.74782608695652,53.83337424911403
date,2017-02-27,46.21608040201005,54.080843891945754
date,2017-02-28,46.9537037037037,54.24185233057459
date,2017-03-01,41.952,54.420254596863536
date,2017-03-02,48.47131782945736,54.53982329923743
date,2017-03-03,44.05898123324397,54.694271195097514
date,2017-03-04,46.90499194847021,54.85137866591357
date,2017-03-05,45.808126410835214,55.003445119849204
date,2017-03-06,50.10526315789474,55.136991013347384
date,2017-03-07,46.104424778761064,55.30967019808503
date,2017-03-08,46.432291666666664,55.580680585242725
date,2017-03-09,46.800632911392405,55.73578870013497
date,2017-03-10,49.74203821656051,55.96956290125007
date,2017-03-11,46.407624633431084,56.15076632726753
date,2017-03-12,50.78360655737705,56.33050904774308
date,2017-03-13,46.34738955823293,56.537615092317985
date,2017-03-14,49.12645914396887,56.72742781484089
date,2017-03-15,48.20164609053498,56.8612601047953
date,2017-03-16,48.284750337381915,57.03744036804877
date,2017-03-17,47.121212121212125,57.22397998518329
date,2017-03-18,49.573692551505545,57.36681724606242
date,2017-03-19,50.289293849658314,57.56365915433967
date,2017-03-20,47.146496815286625,57.6657504193836
date,2017-03-21,49.76555716353111,57.86207466924933
date,2017-03-22,50.888888888888886,58.061184341446825
date,2017-03-23,48.88961892247043,58.22418739766106
date,2017-03-24,44.76548672566372,58.3948108778185
date,2017-03-25,52.0554821664465,58.562357590090365
date,2017-03-26,45.483552631578945,58.73963506138901
date,2017-03-27,46.66935483870968,58.92197384721862
date,2017-03-28,50.969208211143695,59.08887173960312
date,2017-03-29,49.95669291338583,59.277268161721736
date,2017-03-30,51.32142857142857,59.47554821028507
date,2017-03-31,50.66744186046512,59.638694662620544
date,2017-04-01,49.00978473581213,59.77961703335392
date,2017-04-02,49.61504424778761,59.954351922671776
date,2017-04-03,50.73267326732673,60.13604771264738
date,2017-04-04,48.582597730138716,60.306533800191005
date,2017-04-05,51.80597014925373,60.39321089629688
date,2017-04-06,47.60699865410498,60.60580893121389
date,2017-04-07,42.583333333333336,60.75292885567092
date,2017-04-08,46.732807215332585,60.914775612891205
date,2017-04-09,44.31382113821138,61.08550271392993
